TargetDegree:timeTotal
8
8
9
10
10
11
12
12
14
15
15
15
17
19
20
21
22
22
22
22
22
22
22
22
22
20
22
23
24
26
27
27
28
28
28
28
28
29
27
26
26
26
26
26
26
26
26
26
26
26
26
28
30
30
31
33
34
35
35
36
37
38
40
39
39
40
40
40
41
40
40
40
42
39
39
40
38
38
39
35
35
35
35
35
35
35
35
35
35
35
35
35
35
35
35
35
35
35
35
35
